trip_id,driver,behavior,road,model,mean_p_normal,sd_p_normal,n_windows
21,D4,NORMAL,SECONDARY,LogisticRegression,0.591408312983701,0.14833594993479335,292
22,D4,NORMAL,SECONDARY,LogisticRegression,0.5523644685049579,0.1528566121409399,277
23,D4,AGGRESSIVE,SECONDARY,LogisticRegression,0.3523301535265658,0.1691973911777143,265
24,D4,DROWSY,SECONDARY,LogisticRegression,0.31917430509060607,0.18776669757927875,276
25,D4,NORMAL,MOTORWAY,LogisticRegression,0.509945252337129,0.17849357173645655,401
26,D4,AGGRESSIVE,MOTORWAY,LogisticRegression,0.2661197027284209,0.18675757556932387,372
27,D4,DROWSY,MOTORWAY,LogisticRegression,0.36478084127187155,0.17070573664088376,411
28,D5,NORMAL,MOTORWAY,LogisticRegression,0.5393598852465381,0.15702855067505492,369
29,D5,AGGRESSIVE,MOTORWAY,LogisticRegression,0.37679953720292325,0.1528882529062603,320
30,D5,DROWSY,MOTORWAY,LogisticRegression,0.21455491310131505,0.1301891960253272,435
31,D5,NORMAL,SECONDARY,LogisticRegression,0.5836163832702534,0.12475894768392165,281
32,D5,NORMAL,SECONDARY,LogisticRegression,0.514271819371959,0.14603614309561627,278
33,D5,AGGRESSIVE,SECONDARY,LogisticRegression,0.44888712257838775,0.15813828085269221,170
34,D5,DROWSY,SECONDARY,LogisticRegression,0.4273606176082334,0.15866036138779976,281
35,D6,NORMAL,MOTORWAY,LogisticRegression,0.5491704426989797,0.17057705414214844,410
36,D6,DROWSY,MOTORWAY,LogisticRegression,0.2846648370997056,0.16062314504590192,426
37,D6,NORMAL,SECONDARY,LogisticRegression,0.5033394630584762,0.14160881303320175,313
38,D6,DROWSY,SECONDARY,LogisticRegression,0.37865656016058163,0.15080341091816094,290
39,D6,AGGRESSIVE,MOTORWAY,LogisticRegression,0.21348996720952756,0.17066320952271447,365
0,D1,NORMAL,SECONDARY,RandomForest,0.7727221317393961,0.27541089653658485,248
1,D1,NORMAL,SECONDARY,RandomForest,0.8859633547452507,0.15060799335938413,261
2,D1,NORMAL,MOTORWAY,RandomForest,0.8486839859118336,0.18639132363671645,349
3,D1,AGGRESSIVE,MOTORWAY,RandomForest,0.16632876287356288,0.1722810303117213,294
4,D1,DROWSY,MOTORWAY,RandomForest,0.06629656252040467,0.12835301502780747,378
5,D1,AGGRESSIVE,SECONDARY,RandomForest,0.1516190909136686,0.17612507962486296,213
6,D1,DROWSY,SECONDARY,RandomForest,0.15771247011249281,0.2109290863551142,201
7,D2,NORMAL,MOTORWAY,RandomForest,0.7810002340767593,0.2428668378680553,372
8,D2,AGGRESSIVE,MOTORWAY,RandomForest,0.15342331304794282,0.2139356327741202,350
9,D2,DROWSY,MOTORWAY,RandomForest,0.14598926525510328,0.2079445785144001,379
10,D2,NORMAL,SECONDARY,RandomForest,0.7912772724822077,0.2274100363317235,260
11,D2,NORMAL,SECONDARY,RandomForest,0.8348875329154055,0.19754708008256924,276
12,D2,AGGRESSIVE,SECONDARY,RandomForest,0.1738714566884645,0.2359174692312539,247
13,D2,DROWSY,SECONDARY,RandomForest,0.14758879674129177,0.19618862271826681,261
14,D3,NORMAL,MOTORWAY,RandomForest,0.6927849922014546,0.22236199580851995,365
15,D3,DROWSY,MOTORWAY,RandomForest,0.2042146912961884,0.21352917936066587,410
16,D3,NORMAL,SECONDARY,RandomForest,0.7315418541062859,0.18219689855673799,281
17,D3,NORMAL,SECONDARY,RandomForest,0.697930214223479,0.18953903460967353,268
18,D3,AGGRESSIVE,SECONDARY,RandomForest,0.2204286476427462,0.22467556541081218,272
19,D3,DROWSY,SECONDARY,RandomForest,0.2281302526746671,0.20706800840899328,265
20,D3,AGGRESSIVE,MOTORWAY,RandomForest,0.03373073873147686,0.09770339583815885,335
21,D4,NORMAL,SECONDARY,RandomForest,0.7295237574121197,0.2480206453042294,292
22,D4,NORMAL,SECONDARY,RandomForest,0.7169152178127047,0.22318304010392173,277
23,D4,AGGRESSIVE,SECONDARY,RandomForest,0.22234650366790176,0.17032491249178996,265
24,D4,DROWSY,SECONDARY,RandomForest,0.25160147428866186,0.2038200583758091,276
25,D4,NORMAL,MOTORWAY,RandomForest,0.6960107222861526,0.26021263656430893,401
26,D4,AGGRESSIVE,MOTORWAY,RandomForest,0.16033525393442963,0.15214897733355373,372
27,D4,DROWSY,MOTORWAY,RandomForest,0.21789928713278187,0.2087509244363102,411
28,D5,NORMAL,MOTORWAY,RandomForest,0.7366217674752475,0.2180038512982113,369
29,D5,AGGRESSIVE,MOTORWAY,RandomForest,0.14568451837749988,0.19582976625769483,320
30,D5,DROWSY,MOTORWAY,RandomForest,0.014974848337779791,0.05739517424644563,435
31,D5,NORMAL,SECONDARY,RandomForest,0.7921354758488536,0.17939013194640233,281
32,D5,NORMAL,SECONDARY,RandomForest,0.752215053853286,0.21290882203389383,278
33,D5,AGGRESSIVE,SECONDARY,RandomForest,0.24318717700430717,0.2511318350984043,170
34,D5,DROWSY,SECONDARY,RandomForest,0.32932104956054276,0.22247026752248314,281
35,D6,NORMAL,MOTORWAY,RandomForest,0.78850617609392,0.25426064002278276,410
36,D6,DROWSY,MOTORWAY,RandomForest,0.07620100767825391,0.128860555363001,426
37,D6,NORMAL,SECONDARY,RandomForest,0.7562268834894621,0.21186776833520027,313
38,D6,DROWSY,SECONDARY,RandomForest,0.2349579241033438,0.22053479779880217,290
39,D6,AGGRESSIVE,MOTORWAY,RandomForest,0.09093252076592337,0.1672349907084232,365
0,D1,NORMAL,SECONDARY,XGBoost,0.8811736006563383,0.23125647568586996,248
1,D1,NORMAL,SECONDARY,XGBoost,0.9556880099100312,0.12081567722268913,261
2,D1,NORMAL,MOTORWAY,XGBoost,0.9545943623050825,0.14606937961955313,349
3,D1,AGGRESSIVE,MOTORWAY,XGBoost,0.049961154471531266,0.12914063997450093,294
4,D1,DROWSY,MOTORWAY,XGBoost,0.03203534375810871,0.1360045124593536,378
5,D1,AGGRESSIVE,SECONDARY,XGBoost,0.11918317049920163,0.23311295633377213,213
6,D1,DROWSY,SECONDARY,XGBoost,0.02323783232068282,0.06592663568879463,201
7,D2,NORMAL,MOTORWAY,XGBoost,0.8872674380126249,0.22119626397626505,372
8,D2,AGGRESSIVE,MOTORWAY,XGBoost,0.08831754777751415,0.1818652761537661,350
9,D2,DROWSY,MOTORWAY,XGBoost,0.06132634074830091,0.13443179069424174,379
10,D2,NORMAL,SECONDARY,XGBoost,0.8523077619220466,0.2254688548043307,260
11,D2,NORMAL,SECONDARY,XGBoost,0.9177778816754294,0.16615206124353746,276
12,D2,AGGRESSIVE,SECONDARY,XGBoost,0.09765162103941825,0.19219157547212865,247
13,D2,DROWSY,SECONDARY,XGBoost,0.09519804761213067,0.18916964627577174,261
14,D3,NORMAL,MOTORWAY,XGBoost,0.8082873930615442,0.23941490403441987,365
15,D3,DROWSY,MOTORWAY,XGBoost,0.12783348733789046,0.19523051266240332,410
16,D3,NORMAL,SECONDARY,XGBoost,0.8446498555532622,0.19642999934651498,281
17,D3,NORMAL,SECONDARY,XGBoost,0.8129067451624221,0.22568663892141386,268
18,D3,AGGRESSIVE,SECONDARY,XGBoost,0.13172956694720567,0.19753814282099835,272
19,D3,DROWSY,SECONDARY,XGBoost,0.18010936033691322,0.2402921812458932,265
20,D3,AGGRESSIVE,MOTORWAY,XGBoost,0.018973089943176955,0.074698111173368,335
21,D4,NORMAL,SECONDARY,XGBoost,0.8419055033392666,0.22997243283043123,292
22,D4,NORMAL,SECONDARY,XGBoost,0.8330116531024847,0.23194867349348489,277
23,D4,AGGRESSIVE,SECONDARY,XGBoost,0.1382034419993702,0.1767640114765083,265
24,D4,DROWSY,SECONDARY,XGBoost,0.16457240898629288,0.2063648911764724,276
25,D4,NORMAL,MOTORWAY,XGBoost,0.8115705574338186,0.27587705292343484,401
26,D4,AGGRESSIVE,MOTORWAY,XGBoost,0.06601664463006339,0.1353020703225314,372
27,D4,DROWSY,MOTORWAY,XGBoost,0.13573117514991226,0.19265460061307094,411
28,D5,NORMAL,MOTORWAY,XGBoost,0.8954384154093852,0.19594809084448475,369
29,D5,AGGRESSIVE,MOTORWAY,XGBoost,0.09075476266526974,0.21121103487707624,320
30,D5,DROWSY,MOTORWAY,XGBoost,0.007890938165053634,0.05143187952698345,435
31,D5,NORMAL,SECONDARY,XGBoost,0.9010789587200364,0.18510997356446068,281
32,D5,NORMAL,SECONDARY,XGBoost,0.8773582456584029,0.2075982253860381,278
33,D5,AGGRESSIVE,SECONDARY,XGBoost,0.11171514453547245,0.1988811228556242,170
34,D5,DROWSY,SECONDARY,XGBoost,0.15550786511494083,0.1929334385570476,281
35,D6,NORMAL,MOTORWAY,XGBoost,0.9287870166153435,0.18198150016578024,410
36,D6,DROWSY,MOTORWAY,XGBoost,0.027546246540065336,0.09897929353912742,426
37,D6,NORMAL,SECONDARY,XGBoost,0.8909560791555663,0.2038832280390678,313
38,D6,DROWSY,SECONDARY,XGBoost,0.08015012033874674,0.18438868641086653,290
39,D6,AGGRESSIVE,MOTORWAY,XGBoost,0.041694291403853015,0.12273457398343143,365
